oa,lsoa,msoa,la
E00076435,E01015128,E02003153,Plymouth
E00076429,E01015127,E02003151,Plymouth
E00076428,E01015133,E02003151,Plymouth
E00076434,E01015128,E02003153,Plymouth
E00076408,E01015128,E02003153,Plymouth
E00076433,E01015127,E02003151,Plymouth
E00076412,E01015127,E02003151,Plymouth
E00076430,E01015127,E02003151,Plymouth
E00076447,E01015133,E02003151,Plymouth
E00076415,E01015132,E02003151,Plymouth
E00076432,E01015126,E02003151,Plymouth
E00076422,E01015133,E02003151,Plymouth
E00076418,E01015131,E02003151,Plymouth
E00076414,E01015133,E02003151,Plymouth
E00076423,E01015133,E02003151,Plymouth
E00076427,E01015126,E02003151,Plymouth
E00076431,E01015126,E02003151,Plymouth
E00076436,E01015128,E02003153,Plymouth
E00076437,E01015128,E02003153,Plymouth
E00076424,E01015132,E02003151,Plymouth
E00076426,E01015126,E02003151,Plymouth
E00076477,E01015140,E02003153,Plymouth
E00172039,E01015134,E02003153,Plymouth
E00076482,E01015140,E02003153,Plymouth
E00172040,E01015134,E02003153,Plymouth
E00076478,E01015140,E02003153,Plymouth
E00172074,E01015134,E02003153,Plymouth
E00076410,E01015129,E02003153,Plymouth
E00076446,E01015129,E02003153,Plymouth
E00076479,E01015141,E02003152,Plymouth
E00076480,E01015141,E02003152,Plymouth
E00172068,E01015141,E02003152,Plymouth
E00172071,E01015141,E02003152,Plymouth
E00076438,E01015130,E02003153,Plymouth
E00076445,E01015130,E02003153,Plymouth
E00076442,E01015130,E02003153,Plymouth
E00076486,E01015139,E02003152,Plymouth
E00076481,E01015138,E02003152,Plymouth
E00076472,E01015138,E02003152,Plymouth
E00076485,E01015140,E02003153,Plymouth
E00076451,E01015140,E02003153,Plymouth
E00076441,E01015130,E02003153,Plymouth
E00076439,E01015129,E02003153,Plymouth
E00076443,E01015130,E02003153,Plymouth
E00076487,E01015141,E02003152,Plymouth
E00076452,E01015139,E02003152,Plymouth
E00076456,E01015141,E02003152,Plymouth
E00076484,E01015139,E02003152,Plymouth
E00076483,E01015139,E02003152,Plymouth
E00076455,E01015139,E02003152,Plymouth
E00076454,E01015138,E02003152,Plymouth
E00076453,E01015138,E02003152,Plymouth
E00076466,E01015138,E02003152,Plymouth
E00076440,E01015128,E02003153,Plymouth
E00076409,E01015129,E02003153,Plymouth
E00076444,E01015129,E02003153,Plymouth
