oa,lsoa,msoa,la
E00076521,E01015142,E02003130,Plymouth
E00076515,E01015144,E02003130,Plymouth
E00076522,E01015146,E02003130,Plymouth
E00076505,E01015142,E02003130,Plymouth
E00076491,E01015150,E02003130,Plymouth
E00076517,E01015144,E02003130,Plymouth
E00076516,E01015146,E02003130,Plymouth
E00076513,E01015142,E02003130,Plymouth
E00076508,E01015142,E02003130,Plymouth
E00076501,E01015142,E02003130,Plymouth
E00076495,E01015150,E02003130,Plymouth
E00076502,E01015150,E02003130,Plymouth
E00076499,E01015150,E02003130,Plymouth
E00076503,E01015143,E02003130,Plymouth
E00076493,E01015149,E02003130,Plymouth
E00076497,E01015149,E02003130,Plymouth
E00076496,E01015149,E02003130,Plymouth
E00076509,E01015149,E02003130,Plymouth
E00076504,E01015149,E02003130,Plymouth
E00076507,E01015144,E02003130,Plymouth
E00076489,E01015147,E02003127,Plymouth
E00076530,E01015147,E02003127,Plymouth
E00076207,E01015083,E02003125,Plymouth
E00076514,E01015143,E02003130,Plymouth
E00076511,E01015144,E02003130,Plymouth
E00076510,E01015144,E02003130,Plymouth
E00076506,E01015143,E02003130,Plymouth
E00076512,E01015143,E02003130,Plymouth
E00076189,E01015085,E02003127,Plymouth
E00076528,E01015147,E02003127,Plymouth
E00076492,E01015148,E02003127,Plymouth
E00076490,E01015148,E02003127,Plymouth
E00076498,E01015143,E02003130,Plymouth
E00076500,E01015148,E02003127,Plymouth
E00076531,E01015148,E02003127,Plymouth
E00076529,E01015148,E02003127,Plymouth
E00076211,E01015082,E02003125,Plymouth
E00076527,E01015147,E02003127,Plymouth
E00076216,E01015082,E02003125,Plymouth
E00076184,E01015084,E02003125,Plymouth
E00076212,E01015082,E02003125,Plymouth
E00076193,E01015087,E02003127,Plymouth
E00076225,E01015085,E02003127,Plymouth
E00076187,E01015087,E02003127,Plymouth
E00076197,E01015087,E02003127,Plymouth
E00076230,E01015085,E02003127,Plymouth
E00076190,E01015088,E02003127,Plymouth
E00076229,E01015088,E02003127,Plymouth
E00076198,E01015087,E02003127,Plymouth
E00076222,E01015084,E02003125,Plymouth
E00076223,E01015085,E02003127,Plymouth
E00076210,E01015085,E02003127,Plymouth
E00076219,E01015084,E02003125,Plymouth
E00076208,E01015083,E02003125,Plymouth
E00076214,E01015084,E02003125,Plymouth
E00076213,E01015084,E02003125,Plymouth
E00076217,E01015083,E02003125,Plymouth
E00076218,E01015083,E02003125,Plymouth
E00076220,E01015083,E02003125,Plymouth
E00076215,E01015082,E02003125,Plymouth
E00076209,E01015082,E02003125,Plymouth
E00076129,E01015071,E02003129,Plymouth
E00076124,E01015071,E02003129,Plymouth
E00076120,E01015071,E02003129,Plymouth
E00075912,E01015029,E02003129,Plymouth
E00172078,E01015070,E02003128,Plymouth
E00076101,E01015071,E02003129,Plymouth
E00076119,E01015070,E02003128,Plymouth
E00076118,E01015070,E02003128,Plymouth
E00075911,E01015023,E02003124,Plymouth
E00075910,E01015029,E02003129,Plymouth
E00076196,E01015086,E02003128,Plymouth
E00076136,E01015064,E02003129,Plymouth
E00076139,E01015071,E02003129,Plymouth
E00076133,E01015070,E02003128,Plymouth
E00076199,E01015086,E02003128,Plymouth
E00076203,E01015081,E02003128,Plymouth
E00076204,E01015081,E02003128,Plymouth
E00076205,E01015081,E02003128,Plymouth
E00076132,E01015070,E02003128,Plymouth
E00076186,E01015089,E02003128,Plymouth
E00076206,E01015081,E02003128,Plymouth
E00075907,E01015023,E02003124,Plymouth
E00172044,E01015070,E02003128,Plymouth
E00076202,E01015081,E02003128,Plymouth
E00172045,E01015070,E02003128,Plymouth
E00076122,E01015070,E02003128,Plymouth
E00076195,E01015086,E02003128,Plymouth
E00076192,E01015089,E02003128,Plymouth
E00076188,E01015088,E02003127,Plymouth
E00075914,E01015024,E02003125,Plymouth
E00076226,E01015089,E02003128,Plymouth
E00076194,E01015089,E02003128,Plymouth
E00076200,E01015089,E02003128,Plymouth
E00076201,E01015087,E02003127,Plymouth
E00076228,E01015088,E02003127,Plymouth
E00076224,E01015085,E02003127,Plymouth
E00076227,E01015088,E02003127,Plymouth
E00076185,E01015089,E02003128,Plymouth
E00076191,E01015086,E02003128,Plymouth
E00076221,E01015086,E02003128,Plymouth
E00172043,E01015070,E02003128,Plymouth
E00075896,E01015030,E02003128,Plymouth
E00075895,E01015023,E02003124,Plymouth
E00075933,E01015027,E02003123,Plymouth
E00075936,E01015026,E02003124,Plymouth
E00075935,E01015030,E02003128,Plymouth
E00075899,E01015028,E02003124,Plymouth
E00075905,E01015030,E02003128,Plymouth
E00076588,E01015165,E02003124,Plymouth
E00075903,E01015030,E02003128,Plymouth
E00075908,E01015023,E02003124,Plymouth
E00075904,E01015023,E02003124,Plymouth
E00075906,E01015023,E02003124,Plymouth
E00075898,E01015030,E02003128,Plymouth
E00075902,E01015030,E02003128,Plymouth
E00075932,E01015028,E02003124,Plymouth
E00075929,E01015028,E02003124,Plymouth
E00075923,E01015026,E02003124,Plymouth
E00075930,E01015026,E02003124,Plymouth
E00075931,E01015026,E02003124,Plymouth
E00075927,E01015028,E02003124,Plymouth
E00075901,E01015026,E02003124,Plymouth
E00075920,E01015028,E02003124,Plymouth
E00075928,E01015026,E02003124,Plymouth
E00075922,E01015024,E02003125,Plymouth
E00075915,E01015024,E02003125,Plymouth
E00075916,E01015024,E02003125,Plymouth
E00075894,E01015024,E02003125,Plymouth
E00076600,E01015163,E02003124,Plymouth
E00076621,E01015165,E02003124,Plymouth
E00076622,E01015163,E02003124,Plymouth
E00076618,E01015165,E02003124,Plymouth
E00076613,E01015165,E02003124,Plymouth
E00076620,E01015165,E02003124,Plymouth
E00172072,E01015092,E02003126,Plymouth
E00076123,E01015064,E02003129,Plymouth
E00076126,E01015064,E02003129,Plymouth
E00076102,E01015064,E02003129,Plymouth
E00076608,E01015163,E02003124,Plymouth
E00075925,E01015027,E02003123,Plymouth
E00075926,E01015027,E02003123,Plymouth
E00172070,E01015029,E02003129,Plymouth
E00075897,E01015029,E02003129,Plymouth
E00172085,E01015029,E02003129,Plymouth
E00075913,E01015029,E02003129,Plymouth
E00076610,E01015162,E02003123,Plymouth
E00075934,E01015027,E02003123,Plymouth
E00172084,E01015068,E02003131,Plymouth
E00075924,E01015025,E02003122,Plymouth
E00076111,E01015067,E02003133,Plymouth
E00076130,E01015065,E02003129,Plymouth
E00075900,E01015027,E02003123,Plymouth
E00076125,E01015064,E02003129,Plymouth
E00076127,E01015064,E02003129,Plymouth
E00076137,E01015065,E02003129,Plymouth
E00076138,E01015065,E02003129,Plymouth
E00076105,E01015065,E02003129,Plymouth
E00076106,E01015066,E02003133,Plymouth
E00076099,E01015066,E02003133,Plymouth
E00076134,E01015068,E02003131,Plymouth
E00076131,E01015065,E02003129,Plymouth
E00076103,E01015067,E02003133,Plymouth
E00076108,E01015067,E02003133,Plymouth
E00076114,E01015066,E02003133,Plymouth
E00076115,E01015066,E02003133,Plymouth
E00076135,E01015068,E02003131,Plymouth
E00172041,E01015068,E02003131,Plymouth
